Company,Segment,Country,Fit (1-5),What they do,Why fit,Observable pain,Problem CLARA solves,Approach angle,Target roles,Contact pathway,Sources,Status
Wolt,Delivery/Mobility,"Finland (Helsinki) - operates DACH incl. Germany, Austria",4,"Food-and-retail delivery platform operating across the Nordics, DACH and wider Europe; owned by DoorDash but EU-operated with a Wolt+ subscription tier.",EU-headquartered (Helsinki) with strong DACH presence and a very low public rating (Trustpilot 1.3-1.4/5) across multiple country sites - clear thematic pain. EU-residency need for consumer data; good budget.,"Trustpilot wolt.de, wolt.se (1.3/5), wolt.com/da and others rate ~1.4/5 with only ~6% 5-star. Recurring themes: cold food from poor pickup/route batching, high delivery fees, unhelpful support with shifting ETAs, tiny compensation for very late orders, silent recurring Wolt+ charges even after cancellation, and missing items charged in full without refund - spanning DE, SE, DK, FI, GR.","CLARA clusters multilingual EU complaint themes (cold_food, route_batching, fee_value, subscription_billing, missing_items, support_unhelpful) into governed insight so central ops can target the route/pickup failures driving the 1-star pattern.",EU-operated / EU-resident despite US ownership: 'keep VoC processing in the EU while giving DoorDash-owned Wolt a governed pan-European complaint view.',Head of Customer Experience / Support; Head of Operations DACH; Head of Product; Head of Subscriptions / Wolt+; Head of Insights,"wolt.com/en/about footer, wolt.de Impressum/contact, careers.wolt.com; press via wolt.com/newsroom. LinkedIn search paths: 'Head of Customer Support Wolt DACH', 'Head of Operations Wolt Germany', 'Head of Product Wolt'.",https://www.trustpilot.com/review/www.wolt.de | https://www.trustpilot.com/review/wolt.se | https://blog.osum.com/weaknesses-of-wolt/,Not contacted
ABOUT YOU SE & Co. KG,E-commerce/D2C,Germany (Hamburg),4,Mobile-first fashion e-commerce platform and D2C tech company operating across many EU markets; strong app presence.,"High review + app-store volume, EU HQ, GDPR-heavy personalization data. Mid-tier Trustpilot score signals real, addressable recurring pain. Product-led org receptive to insight tooling.","aboutyou.de ~29,000 Trustpilot reviews at ~3.6/5. Recurring themes: refunds confirmed-but-not-paid with support going silent, return codes/app failing to generate, orders not detected despite completed payment, counterfeit-product claims.","CLARA unifies app-store review text + Trustpilot + support tickets into governed theme clusters (refund_not_received, app_return_flow_broken) with an outcome loop tied to product fixes.",App-review + support fusion for a mobile-first brand: 'your app reviews and refund complaints are the same story — see it clustered and governed.',Head of Customer Care; VP Product; Head of Customer Experience; Director CRM/Insights,Corporate: corporate.aboutyou.de. Impressum on aboutyou.de. LinkedIn: 'ABOUT YOU' + 'Customer Care' / 'Product' leadership.,https://www.trustpilot.com/review/aboutyou.de | https://www.trustpilot.com/review/aboutyou.at,Not contacted
Cyberport GmbH,E-commerce/D2C,Germany (Dresden),4,Specialist Apple-premium and consumer-electronics online retailer with stores across DE and AT.,"Low score at high volume signals urgent, unaddressed feedback pain — a strong 'we clearly have a problem' entry point. German HQ, mid-market budget, clearly under-resourced complaint handling.","~14,000 Trustpilot reviews at ~2.3/5. Recurring themes: multiple follow-ups ignored / silence on complaints, unanswered warranty (RMA) claims with devices held for weeks, reports of used devices delivered as new.","CLARA gives a small CX team a governed, auto-clustered view (warranty_unanswered, complaint_ignored, wrong_condition_item) so the biggest fires are visible and auditable without manual reading.",Under-resourced-team angle: 'a 2.3/5 with 14k reviews means themes are hiding in plain sight — CLARA reads them all and governs the output for you.',Head of Customer Service; Head of After-Sales/RMA; Managing Director / COO; E-Commerce Lead,Corporate/Impressum on cyberport.de (Unternehmen/Kontakt). LinkedIn: 'Cyberport' + 'Kundenservice' / 'After Sales' leadership.,https://www.trustpilot.com/review/www.cyberport.de,Not contacted
Digitec Galaxus AG (Migros),E-commerce/D2C,Switzerland (Zurich),4,"Switzerland's largest online retailer/marketplace (Digitec electronics + Galaxus general merchandise), owned by Migros; expanding into DE/AT.","Swiss data-residency requirements (FADP) plus EU expansion make sovereign, governed VoC compelling. Very high combined review volume with clear third-party-supplier and carrier themes.","Galaxus 35,492 reviewers + Digitec 12,000+ reviewers. Recurring themes: external-supplier delivery timing failures and order cancellations, Planzer carrier deliveries described as 'a disaster', restocking-fee return friction, forced account creation to see delivery restrictions.","CLARA isolates carrier (Planzer vs Post) and marketplace-supplier complaint clusters, giving governed, CH/EU-resident insight as the company scales into Germany/Austria.",CH sovereignty + DE expansion: 'keep insight in-region under FADP/GDPR while you scale into DE — CLARA quantifies your Planzer and supplier delivery pain.',Head of Customer Experience; Head of Logistics/Carrier Management; Head of Marketplace; Head of Data/Insights,Corporate: galaxus.ch (Über uns/Kontakt) and digitecgalaxus.ch. LinkedIn: 'Digitec Galaxus' + 'Customer Experience' / 'Logistics' leadership.,https://www.trustpilot.com/review/galaxus.ch | https://www.trustpilot.com/review/www.digitec.ch,Not contacted
DocMorris,E-commerce/D2C,Switzerland / Netherlands (EU-operating online pharmacy),4,Major European online pharmacy serving Germany and other EU markets; OTC and e-prescription fulfilment.,"Like Shop Apotheke, sensitive health data drives a hard EU-residency and governance requirement. 50k+ reviews = high public feedback volume with clear delivery/refund themes.","50,000+ Trustpilot reviews. Recurring negatives: late delivery, orders cancelled without notice, promised next-day slipping to five days, damaged/undelivered parcels with DHL refusing handover, refunds not received, expired tracking links, unresponsive support.","CLARA delivers governed theme clustering (delivery_delay, refund_not_received, carrier_handover_failure) with audit trail fit for a regulated pharmacy operating under the EU AI Act.","e-prescription era angle: 'as e-Rx volume scales in DE, your complaint volume will too — get an EU-sovereign governed VoC engine before it does.'",Head of Customer Service; Head of Operations/Fulfilment; Chief Customer Officer; Head of Quality/Compliance,Corporate: docmorris.com (investor/press). Impressum on docmorris.de. LinkedIn: 'DocMorris' + 'Customer Service' / 'Operations' leadership.,https://www.trustpilot.com/review/www.docmorris.de | https://www.trustpilot.com/review/drmorris.de,Not contacted
Lieferando (Just Eat Takeaway.com),E-commerce/D2C,Netherlands (Amsterdam); dominant DACH food-delivery brand,4,"Leading food-delivery marketplace in Germany/Austria (Lieferando), part of Just Eat Takeaway, aggregating 15,000+ restaurants.","High-frequency ordering generates enormous real-time complaint volume; EU HQ; two-sided marketplace (customers + restaurants) multiplies VoC value. Clear, recurring, taggable pain.","22,593 Trustpilot reviewers with heavy negative skew. Recurring themes: items/whole orders missing, large delays, wrong orders, support 'useless' with ignored emails and automated replies, refund disputes where customers are bounced to the restaurant.","CLARA clusters order_missing, refund_dispute, support_unresponsive themes and can split restaurant-caused vs platform-caused issues, feeding a governed outcome loop.",Two-sided VoC: 'separate restaurant-fault from platform-fault complaints automatically — governed and EU-resident — to prioritise the right fixes.',Head of Customer Care DACH; Director Operations; Head of Restaurant Experience; Head of Insights,Corporate: justeattakeaway.com (press/contact). Impressum on lieferando.de. LinkedIn: 'Lieferando' / 'Just Eat Takeaway' + 'Customer Care' / 'Operations' DACH.,https://www.trustpilot.com/review/lieferando.de | https://www.trustpilot.com/review/lieferando.at,Not contacted
Westwing Group SE,E-commerce/D2C,Germany (Munich),4,Home & living D2C e-commerce brand (inspiration-led furniture/decor) operating across ~11 EU markets.,Furniture logistics generate high-emotion delivery/damage complaints; EU HQ; premium brand where CX reputation is core. Strong fit for governed theme tracking tied to product/logistics fixes.,"westwing.de 25,762 Trustpilot reviewers. Recurring themes: last-minute delivery-delay notifications, customers 'treated with disregard' by support needing multiple calls before resolution.",CLARA clusters delivery_delay_notification and support_dismissive themes across markets and links them to an outcome loop for logistics and CX ownership.,"Brand-reputation angle: 'for a premium home brand, delivery-delay and support tone complaints are brand risk — govern and act on them in one EU-resident view.'",Head of Customer Experience; Head of Operations/Logistics; VP Brand/Customer; Head of Insights,Corporate: westwing.com (investor/press/contact). Impressum on westwing.de. LinkedIn: 'Westwing' + 'Customer Experience' / 'Operations'.,https://www.trustpilot.com/review/westwing.de,Not contacted
"bonprix (bonprix Handelsgesellschaft mbH, Otto Group)",E-commerce/D2C,Germany (Hamburg),4,"Value fashion D2C retailer selling in ~30 countries, part of the Otto Group.",Nearly 90k reviews indicate very high public feedback volume; German HQ; recurring payment/stock/cancellation themes are exactly what a governed VoC engine surfaces. Enterprise budget via Otto Group.,"89,869 Trustpilot reviewers. Recurring negatives: service degradation over time with constant payment problems, items out-of-stock despite listed available, unexplained order cancellations, support unable to locate orders.","CLARA tags payment_failure, stock_accuracy and cancellation_unexplained themes and trends them over time, giving governed evidence for process owners.","Trend-over-time angle: 'reviewers say service got worse — CLARA shows exactly which theme drove the drop, month by month, auditable for compliance.'",Head of Customer Service; Head of E-Commerce Operations; Director Payment/Checkout; Head of Insights,Corporate: bonprix.de (Impressum/Kontakt). Otto Group central press ottogroup.com. LinkedIn: 'bonprix' + 'Kundenservice' / 'Operations'.,https://www.trustpilot.com/review/www.bonprix.de,Not contacted
flaconi GmbH,E-commerce/D2C,Germany (Berlin),4,"One of Germany's leading online beauty/perfume retailers (720+ brands, 45,000+ products); operates across several EU markets.","High review volume, EU HQ, and notably an AI-support system already generating complaints — a warm hook for an AI-governance/auditability pitch. Clear delivery/refund/authenticity themes.","flaconi.de 24,559 Trustpilot reviewers. Recurring themes: orders never shipped with disclaimed delivery responsibility, returns unprocessed for months, hard-to-reach support, AI customer service giving conflicting shipment/refund answers, fake-discount-code and counterfeit-product claims.","CLARA provides governed, auditable clustering (order_not_shipped, refund_delay, ai_support_inconsistent, authenticity_concern) — and directly addresses AI-support quality with an EU-AI-Act-aligned audit trail.","AI-Act hook: 'your AI support is already drawing complaints — CLARA gives you a governed, auditable feedback layer that catches and clusters exactly those failures, EU-resident.'",Head of Customer Care; Head of E-Commerce/Operations; VP Product; Head of Insights,Corporate/Impressum on flaconi.de (Über uns/Kontakt). LinkedIn: 'flaconi' + 'Customer Care' / 'Operations' leadership.,https://www.trustpilot.com/review/www.flaconi.de | https://www.trustpilot.com/review/flaconi.at,Not contacted
Clark,Fintech/Insurance,Germany (Frankfurt),4,"Europe's leading fully digital insurance broker/manager, 500k+ customers, aggregates 180+ insurers.","3,200+ reviews, regulated brokerage handling EU customer insurance data, funded scale-up.","Trustpilot ~3,207 reviews. Recurring themes: 'not actually digital — an advisor phones you and calls become the main interface', suspicion advisors are steered to certain insurers, difficult cancellation process, fine-print warnings. Mix of advisor-praise and channel/transparency complaints.","CLARA separates advisor-praise from the 'not digital / phone-pushy / cancellation-hard / conflicted-advice' themes, quantifying which erode trust, with governed EU-resident output for CX and Compliance.","'Reviews say customers wanted digital and got phone calls — CLARA shows you which complaint themes (cancellation, transparency, channel) are costing conversions and trust.'",Head of Customer Experience; Head of Operations; Chief Customer Officer; Head of Compliance; Head of Product,Public imprint: https://www.clark.de/impressum ; app/help support. Approach via LinkedIn.,https://www.trustpilot.com/review/clark.de | https://at.trustpilot.com/review/clark.de?page=5,Not contacted
Getsafe,Fintech/Insurance,Germany (Heidelberg),4,"BaFin-licensed digital insurer (own insurance license since 2021), 500k+ customers, app-first liability/pet/pension products.","Several thousand reviews, licensed insurer holding EU policyholder data, GDPR/EU-AI-Act sensitive, VC-funded budget.","Trustpilot ~4.1/5 over several thousand reviews (255+ pages). Recurring negative themes: claims denied on exclusions/fine print ('another reason it won't be covered'), delayed responses, app slow/won't load, English-marketed but claims require fluent German (language-barrier denials).","CLARA's industry-adaptable tagging (no fine-tuning) clusters the claims-denial, fine-print-frustration and language-barrier themes, and its governance layer maps them to EU-AI-Act/insurance-conduct obligations.","'As a licensed insurer you need auditable, EU-resident analysis of claims-denial complaints — CLARA adapts to insurance language with no fine-tuning and gives governed insight.'",Head of Claims; Head of Customer Experience; VP Operations; Chief Compliance Officer; Head of Product,Public imprint on https://www.hellogetsafe.com/en-de (Impressum/Legal Notice) ; in-app support. Approach via LinkedIn.,https://www.trustpilot.com/review/www.hellogetsafe.com | https://liveingermany.de/getsafe-review-erfahrungen/,Not contacted
Raisin (WeltSparen),Fintech/Insurance,Germany (Berlin),4,Pan-EU savings/deposits marketplace connecting customers to 3rd-party banks; also pensions/investments.,"Large multi-market review base, regulated financial intermediary handling EU deposit/KYC data, funded scale-up. EU-residency relevant.","Trustpilot ~4.5/5 but rising complaint themes: limited support hours and slow ticket processing, new-account validation taking ~5 days, being told 'successfully registered' then bounced back to restart validation, frequent interest-rate cuts with little notice, duplicate-CD errors with disputed responsibility.","CLARA clusters the validation-loop, slow-support and rate-change-notice themes across Raisin's many country sites into one governed EU-resident insight view for a cross-market Ops team.","'You operate across many EU markets and languages — CLARA's no-fine-tuning, multilingual theme clustering unifies your validation and support complaints into governed insight.'",Head of Customer Service; VP Operations; Head of Customer Experience; Head of Compliance/KYC; Head of Product,Public imprint on https://www.raisin.com / https://www.weltsparen.de (Impressum) ; help center. Approach via LinkedIn.,https://www.trustpilot.com/review/www.raisin.com | https://clark.com/technology/online-banking/raisin-review/,Not contacted
Solaris SE,Fintech/Insurance,Germany (Berlin),4,BaFin-licensed Banking-as-a-Service platform / executing bank powering dozens of fintechs and digital banks.,"Under intense BaFin scrutiny (special monitor, EUR 6.5M AML fine, new-customer restrictions) — acute regulatory pressure makes governed, auditable, EU-resident feedback analysis strategically valuable. Deep EU-residency requirement.","Trustpilot ~2.2/5 over 100+ reviews, 72% would not recommend. Recurring themes: delayed transfers, cancelled transactions, cancelled accounts, lack of transparency. Underlying B2B2C complaint flow from partner banks amplifies signal.","CLARA aggregates complaint themes across Solaris and its partner brands into governed, auditable insight that directly supports BaFin remediation evidence and AML/ops prioritisation, all inside EU residency.","'With a BaFin monitor in-house, you need auditable evidence you're clearing complaint backlogs — CLARA gives governed, EU-resident theme tracking and an outcome loop you can show the regulator.'",Chief Compliance Officer; Head of Operations; Head of Customer Operations (partner support); Head of Risk; Chief Customer Officer,Public imprint: https://www.solarisgroup.com/en/imprint/ ; corporate contact on site. Approach via LinkedIn.,https://fififinance.com/banking/solarisbank | https://www.pymnts.com/bank-regulation/2024/bafin-solaris-se-must-improve-controls-or-face-financial-penalties/ | https://finainews.com/banking/germany-threatens-fintech-solaris-with-fines-over-slow-fixes/,Not contacted
Verivox,Fintech/Insurance,Germany (Heidelberg),4,"Major German comparison and brokerage portal for insurance, energy and telco.","55,000+ Trustpilot reviews, regulated insurance/energy brokerage, German consumer data, established budget.","Trustpilot ~55,621 reviews. Recurring themes: accounts showing no active contracts despite submitted applications/mandates with no response to clarification, insurance policy documents delayed well beyond the promised 2-4 weeks, perceived lack of professionalism vs peers.","CLARA clusters the 'application/mandate lost', 'policy documents delayed', and 'no response' themes across its 55k reviews into governed insight for Ops and Broker-service teams.","'Your 55k reviews show a repeating documents-delayed / mandate-lost theme — CLARA quantifies it and routes governed, EU-resident insight to the responsible team.'",Head of Customer Service; Head of Operations; Head of Insurance; Customer Experience Lead; Head of Quality,Public imprint: https://www.verivox.de/impressum/ ; contact via portal. Approach via LinkedIn.,https://www.trustpilot.com/review/www.verivox.de | https://www.trustpilot.com/review/www.verivox.de?page=5,Not contacted
Vivid Money,Fintech/Insurance,Germany (Berlin),4,"Mobile banking and investing app offering German IBANs, business and personal accounts across the EU.","Thousands of reviews (190-204 Trustpilot pages), EU banking data, German IBAN residency angle, funded budget.","Trustpilot ~190-204 pages of reviews. Recurring themes: sudden account blocks/terminations with no explanation and money frozen ~28 days, SEPA-instant transfers rejected/ignored leaving rent unpaid, slow German-language support responses, single-password security concerns.","CLARA clusters the account-block / frozen-funds / transfer-rejection themes and flags urgency (rent-blocking) so Ops and Risk can triage the highest-harm complaints, all EU-resident.",'Frozen-funds and blocked-account complaints are your top churn/reputation risk — CLARA surfaces and prioritises them from your review stream without leaving the EU.',Head of Customer Support; VP Operations; Head of Risk/Compliance; Head of Customer Experience; Head of Product,Public imprint on https://vivid.money (Imprint) ; in-app support. Approach via LinkedIn.,https://www.trustpilot.com/review/vivid.money | https://www.finanzfluss.de/anbieter/vivid/erfahrungen/,Not contacted
Yuh (Swissquote),Fintech/Insurance,Switzerland (Zurich / Gland),4,"Swiss digital banking + investing app (now wholly owned by Swissquote), 340k+ customers.",Swiss data-residency (FINMA + revised FADP) is a strong sovereignty angle distinct from EU; low rating signals real pain; profitable parent = budget.,"Trustpilot ~2.6/5. Recurring themes: excessive questioning when money arrives (AML friction), difficulty leaving the bank, customer service hard to reach, cancelled orders. Users like ease-of-use but service themes drag rating.","CLARA clusters the AML-friction, exit-difficulty and support-unreachable themes with governed, Swiss/EU-resident processing — matching FADP data-sovereignty needs.","'Swiss FADP means your customer feedback shouldn't leave for US AI tools — CLARA gives sovereign, governed theme analysis of your 2.6-star service complaints.'",Head of Customer Care; Head of Operations; Head of Compliance/AML; Customer Experience Lead; Head of Product,Public contact on https://www.yuh.com ; help center / in-app support (parent Swissquote imprint). Approach via LinkedIn.,https://www.trustpilot.com/review/yuh.com | https://thepoorswiss.com/yuh-review/ | https://thepoorswiss.com/neon-vs-yuh/,Not contacted
1&1 (1&1 Telecommunication SE / United Internet),Telco/Energy,Germany,4,DSL/fibre and mobile provider building Germany's 4th mobile (Open RAN) network; large consumer broadband base.,Large Trustpilot presence on 1und1.de plus intense recent negative press around its 5G/Open-RAN rollout and a major May network outage — a documented spike of network-quality complaints that a VoC engine directly addresses. GDPR/EU telecom data exposure.,"Heavy Trustpilot review volume on 1und1.de; complaint themes around billing/renewal surprises and, critically, network reliability after the well-publicised 2024/25 5G outage and delayed Open-RAN rollout (covered by Light Reading, TelcoTitans). Ongoing migration of MVNO customers onto own network is a known complaint driver.","CLARA clusters outage/network-quality and billing complaints in near-real-time so 1&1 can distinguish rollout-transition pain from structural service issues, with governed EU-resident audit trails useful during regulator scrutiny.",Event-driven: 'Your network transition is generating a spike of network-quality complaints — CLARA quantifies which regions/themes are driving churn risk so you can respond before it hits Bundesnetzagentur reports.',Head of Customer Service; Head of Customer Experience; VP Consumer / Product; Head of Insights; Chief Operating Officer,Public site 1und1.de (Impressum/Kontakt: https://www.1und1.de/Impressum). Parent United Internet AG investor/press pages. LinkedIn search: '1&1' + 'Customer Service' / 'Customer Experience'. Public contact only.,https://www.trustpilot.com/review/www.1und1.de | https://www.telcotitans.com/deutsche-telekomwatch/1and1-still-rueing-mays-5g-network-outage/8645.article | https://www.lightreading.com/open-ran/1-1-s-network-nightmare-is-a-bad-ad-for-the-open-ran-gang,Not contacted
A1 Telekom Austria AG,Telco/Energy,Austria,4,"Austria's incumbent telecom leader (mobile, fixed broadband, TV) and part of A1 Group across CEE.","Negative Trustpilot base on a1.net with DSL-reliability and cancellation-billing complaint clusters, plus formal RTR Schlichtung (regulator conciliation) exposure — a documented, regulated complaint pathway CLARA can help pre-empt. GDPR-bound Austrian/EU telco.","Multi-page Trustpilot reviews on a1.net skewing negative. Themes: paying for promised speeds never delivered, frequent DSL outages/disconnections with no technician follow-up, unknowledgeable call-center staff, and being charged for unusable services after cancellation. Customers escalate via the RTR telecom conciliation body.","CLARA clusters the DSL-reliability and cancellation-billing themes and flags the complaint types most likely to reach RTR conciliation, giving A1 a governed, EU-resident early-warning VoC feed.","Regulator-pre-emption pitch: 'The complaints heading to RTR Schlichtung follow predictable themes — CLARA surfaces them early and in a governed, EU-resident way so you resolve before conciliation.'",Head of Customer Experience; Head of Customer Service; Head of Customer Insights; Director Consumer / Product,Public site a1.net (Impressum: https://www.a1.net/impressum). LinkedIn search: 'A1 Telekom Austria' + 'Customer Experience' / 'Kundenservice' / 'Customer Insights'. Public contact only.,https://www.trustpilot.com/review/a1.net | https://www.rtr.at/TKP/was_wir_tun/telekommunikation/konsumentenservice/schlichtungsverfahren/TKKS_Schlichtung.en.html,Not contacted
Deutsche Telekom (Telekom Deutschland GmbH),Telco/Energy,Germany,4,"Incumbent telecom: fixed broadband/fibre, mobile (Magenta), TV. Largest German telco by revenue.","Even the market leader carries ~14,960 Trustpilot reviews with strong billing-transparency, cancellation and doorstep-sales complaint clusters, and is a flagship EU data-sovereignty/GDPR brand (T-Systems runs sovereign cloud). Governance-first positioning of CLARA resonates strongly.","~14,960 Trustpilot reviews. Themes: poor/rude customer service and long hold times, opaque billing and pricing changes, and allegations of dark-pattern cancellation flows (customers explicitly cite EU-law-forbidden patterns) plus deceptive doorstep sales signing customers to expensive contracts.","CLARA provides an auditable, EU-resident VoC layer that flags dark-pattern/cancellation and mis-selling complaint spikes early — directly relevant given Telekom's regulatory visibility and sovereignty branding.","Sovereignty-aligned pitch: 'Telekom champions EU digital sovereignty — CLARA is EU-sovereign, governed VoC that keeps your GDPR-bound feedback in-region while surfacing the cancellation/billing themes behind your ~15k reviews.'",Head of Customer Experience Management; SVP Customer Service; Head of Customer Insights; Director Consumer Products; Chief Customer Officer,Public site telekom.de / telekom.com (Impressum: https://www.telekom.de/impressum). LinkedIn search: 'Telekom Deutschland' + 'Customer Experience' / 'Kundenservice' / 'Customer Insights'. Public/press channel only.,https://www.trustpilot.com/review/www.telekom.de | https://deutsche-telekom.pissedconsumer.com/complaints/RT-P.html,Not contacted
Magenta Telekom (T-Mobile Austria GmbH),Telco/Energy,Austria,4,"Austria's second-largest telecom (Deutsche Telekom subsidiary): mobile, broadband, TV.","~3,008 Trustpilot reviews with billing-dispute, activation-friction and international-customer complaint clusters; GDPR-bound Austrian/EU operator under DT governance (sovereignty narrative). Solid mid fit and easy DT-relationship leverage if Telekom Deutschland engages.","~3,008 Trustpilot reviews, many low-rated. Themes: charges for services not provided while complaints are ignored ('unprofessional and dishonest'), overcomplicated activation with endless personal-data requests, incompetent call centers, streaming services not working despite payment, and roaming auto-locked for foreign-ID registrations.","CLARA turns the billing-dispute and activation-friction complaint streams into governed, auditable themes, and (as a DT unit) plugs into a group-wide EU-sovereign VoC standard.","Group-standard pitch: 'As a Deutsche Telekom unit you need EU-sovereign, governed VoC — CLARA quantifies your billing and activation complaint clusters and aligns with a group-wide standard.'",Head of Customer Experience; Head of Customer Service; Head of Customer Insights; Director Consumer Product,Public site magenta.at (Impressum: https://www.magenta.at/impressum). LinkedIn search: 'Magenta Telekom' / 'T-Mobile Austria' + 'Customer Experience' / 'Kundenservice'. Public contact only.,https://www.trustpilot.com/review/magenta.at,Not contacted
Sunrise GmbH,Telco/Energy,Switzerland,4,"Switzerland's second-largest telecom operator (mobile, broadband, TV) after the UPC merger.","Strong negative Trustpilot presence (sunrise.ch, multiple pages) with billing and cancellation complaint clusters, and Swiss/EU-adjacent data-protection sensitivity (Swiss FADP + GDPR for EU customers, Ombudscom oversight). Broadens footprint into the Swiss market of the DACH wedge.","Multi-page Trustpilot review base on sunrise.ch, heavily negative. Themes: surprise fees / charges for unrequested services, missing promised discounts, difficult online cancellation with no written confirmation, expensive support lines, long chat waits, and coverage/speed degradation — with customers escalating to Ombudscom and FRC.","CLARA clusters the billing-surprise and cancellation-friction themes and tracks Ombudscom-escalation drivers, giving Sunrise a governed VoC engine compliant with Swiss FADP and EU GDPR (data kept in-region).","Escalation-reduction pitch: 'The complaints driving your Ombudscom cases cluster around billing surprises and cancellation friction — CLARA quantifies and tracks them so you cut escalations, with Swiss/EU-resident governance.'",Head of Customer Experience; Head of Customer Care; Head of Customer Insights; Director Consumer / Product,Public site sunrise.ch (Impressum/Kontakt: https://www.sunrise.ch/en/residential/help/contact). LinkedIn search: 'Sunrise' Switzerland + 'Customer Experience' / 'Customer Care'. Public contact only.,https://www.trustpilot.com/review/www.sunrise.ch,Not contacted
Swisscom AG,Telco/Energy,Switzerland,4,"Switzerland's incumbent and largest telecom (mobile, fibre broadband, TV); majority state-owned.","Multi-page negative Trustpilot base with billing and support complaint clusters despite premium positioning; majority state-owned so data-sovereignty and governance are procurement-critical (Swiss FADP + GDPR for EU ops). Large budget, strong sovereignty narrative fit.","9 pages of Trustpilot reviews on swisscom.ch skewing negative. Themes: bills higher than agreed / double the promised rate, unwanted services added without consent, ignored contact forms ('worst support in Switzerland'), online-vs-store service silos, and fibre installs / advertised speeds not delivered.","CLARA unifies the online/store/app feedback silos into one governed VoC view and quantifies billing-discrepancy and fibre-install themes, with Swiss/EU-resident auditability suited to a state-owned operator.","Silo-breaking + sovereignty: 'Your customers say online and store feel like different companies — CLARA unifies all that feedback into one governed, in-region insight layer, fit for a majority state-owned operator.'",Head of Customer Experience; Head of Customer Care; Head of Customer Insights / Market Research; Director Residential Products,Public site swisscom.ch (Impressum/Kontakt: https://www.swisscom.ch/en/about/company/portrait/contact.html). LinkedIn search: 'Swisscom' + 'Customer Experience' / 'Customer Insights'. Public contact only.,https://www.trustpilot.com/review/www.swisscom.ch,Not contacted
Vattenfall Europe Sales GmbH (Vattenfall Deutschland),Telco/Energy,Germany (part of Swedish Vattenfall group),4,"Electricity and gas retailer for German households, strong presence in Berlin/Hamburg.","Very large review volume (25,000+ Trustpilot reviews on vattenfall.de) with recurring billing-miscalculation, contract-admin and support-accessibility complaints. GDPR-bound energy data; EU (Berlin/Hamburg) operations. Solid mid-to-high fit.","25,000+ Trustpilot reviews on vattenfall.de. Themes: consumption/bill miscalculation then blaming the customer, contract start delays over ID issues, data deleted before contract end, and chaotic/unprofessional English-language support with long waits and dropped calls.","CLARA separates the billing-miscalculation and onboarding-friction clusters from noise, quantifies them by region/segment, and gives governed EU-resident insight the German unit can act on and report to the group.","Operational-fix pitch: 'Billing-miscalculation is your loudest complaint theme across 25k reviews — CLARA sizes it and tracks whether fixes move the needle, all EU-resident and audit-ready.'",Head of Customer Service; Head of Customer Experience; Head of Billing / Metering Operations; Head of Customer Insights,Public site vattenfall.de (Impressum/Kontakt: https://www.vattenfall.de/impressum). LinkedIn search: 'Vattenfall' Germany + 'Customer Service' / 'Customer Experience'. Public contact only.,https://www.trustpilot.com/review/www.vattenfall.de | https://www.trustedshops.de/bewertung/vattenfall-de,Not contacted
Wien Energie GmbH,Telco/Energy,Austria,4,"Austria's largest regional energy provider (electricity, gas, district heating, fibre) for Vienna; municipally owned (Wiener Stadtwerke).","Publicly-owned utility with a strongly negative Trustpilot base (wienenergie.at) and dense service-accessibility and billing complaint clusters; GDPR-bound, EU-based, municipal ownership makes data-sovereignty and governance procurement-critical. Strong public-sector fit.","Multi-page Trustpilot reviews on wienenergie.at skewing negative. Themes: hotline unreachable (customers report 7-8 failed attempts, endless queues, empty call-back promises), incorrect direct-debit/billing (surprise ~EUR 2,000 annual settlements), fibre outages with no technician follow-through, and 3+ hour in-branch waits (390 people, 3 staff).","CLARA turns the service-accessibility and billing-shock complaint flood into governed, auditable themes a municipally-owned utility can defend publicly, keeping GDPR-bound consumption data EU-resident.","Municipal-accountability pitch: 'As a city-owned utility you're publicly accountable for service — CLARA gives you EU-sovereign, governed VoC that quantifies your hotline and billing complaint themes for council-level reporting.'",Head of Customer Service / Kundenservice; Head of Customer Experience; Head of Customer Insights; Head of Operations,Public site wienenergie.at (Impressum/Kontakt: https://www.wienenergie.at/impressum/). Parent Wiener Stadtwerke. LinkedIn search: 'Wien Energie' + 'Kundenservice' / 'Customer Experience'. Public contact only.,https://www.trustpilot.com/review/www.wienenergie.at | https://serbliss.at/wien-energie-bewertung.html,Not contacted
